epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1384.01,0.61816,0.48678,0.92298,0.87954,0.64736,0.71618,0.48218,0.95846,0.64557,1.05423,0.000248651,0.000248651,0.000248651
81,1401.3,0.61952,0.48008,0.91377,0.87523,0.64684,0.71697,0.48331,0.949,0.65583,1.05144,0.00024276,0.00024276,0.00024276
82,1418.43,0.62904,0.47935,0.91736,0.8816,0.64816,0.72196,0.49276,0.93827,0.64214,1.04184,0.000236869,0.000236869,0.000236869
83,1435.31,0.61902,0.4812,0.91538,0.88396,0.64462,0.71987,0.48582,0.94959,0.64458,1.05007,0.000230979,0.000230979,0.000230979
84,1452.25,0.61624,0.4733,0.91505,0.88488,0.64403,0.71783,0.48076,0.96871,0.6466,1.0569,0.000225089,0.000225089,0.000225089
85,1469.54,0.63608,0.48586,0.92169,0.87999,0.65517,0.72255,0.48686,0.94957,0.62772,1.04665,0.000219198,0.000219198,0.000219198
86,1486.64,0.59376,0.45712,0.91312,0.88194,0.65416,0.72603,0.49647,0.9329,0.62442,1.0416,0.000213307,0.000213307,0.000213307
87,1503.6,0.60163,0.46102,0.9091,0.88443,0.65207,0.72373,0.4908,0.93436,0.62451,1.03926,0.000207417,0.000207417,0.000207417
88,1520.41,0.6138,0.47067,0.91724,0.88331,0.64987,0.72343,0.48463,0.96457,0.63863,1.05741,0.000201527,0.000201527,0.000201527
89,1537.91,0.61845,0.47292,0.91375,0.87411,0.64828,0.71732,0.48001,0.9549,0.63153,1.05168,0.000195636,0.000195636,0.000195636
90,1555.15,0.61455,0.46564,0.90293,0.87459,0.65857,0.72613,0.49541,0.93915,0.62977,1.04812,0.000189745,0.000189745,0.000189745
91,1571.94,0.59842,0.45204,0.91107,0.87588,0.65561,0.72605,0.49162,0.94568,0.62694,1.04527,0.000183855,0.000183855,0.000183855
92,1588.94,0.61292,0.45979,0.90904,0.88597,0.65047,0.72184,0.48473,0.95817,0.63223,1.0462,0.000177965,0.000177965,0.000177965
93,1606.2,0.60293,0.45913,0.91487,0.88665,0.64747,0.72515,0.49361,0.94005,0.6304,1.04205,0.000172074,0.000172074,0.000172074
94,1623.44,0.6008,0.45975,0.90976,0.88304,0.64892,0.72464,0.49098,0.94446,0.62539,1.04183,0.000166183,0.000166183,0.000166183
95,1640.71,0.59179,0.44735,0.9012,0.88538,0.65165,0.72845,0.49774,0.93834,0.61852,1.04169,0.000160293,0.000160293,0.000160293
96,1657.45,0.59369,0.45606,0.90704,0.88627,0.65355,0.72474,0.49206,0.94274,0.61462,1.04036,0.000154403,0.000154403,0.000154403
97,1674.74,0.59391,0.44718,0.90796,0.881,0.65446,0.7257,0.48871,0.94985,0.62184,1.04937,0.000148512,0.000148512,0.000148512
98,1691.84,0.60281,0.45756,0.91247,0.89565,0.65541,0.7316,0.49669,0.94229,0.62052,1.04617,0.000142621,0.000142621,0.000142621
99,1708.9,0.5949,0.44411,0.91139,0.88055,0.6598,0.72732,0.49223,0.94698,0.61754,1.04862,0.000136731,0.000136731,0.000136731
100,1725.63,0.60968,0.46275,0.9132,0.8771,0.65412,0.72426,0.49209,0.9408,0.62125,1.04629,0.000130841,0.000130841,0.000130841
101,1743.11,0.58468,0.45192,0.9083,0.87901,0.65416,0.72461,0.49228,0.94153,0.62256,1.04878,0.00012495,0.00012495,0.00012495
102,1760.47,0.5631,0.43349,0.90341,0.87817,0.65885,0.72825,0.49922,0.92969,0.61055,1.03933,0.00011906,0.00011906,0.00011906
103,1777.56,0.5772,0.43861,0.90299,0.88267,0.65138,0.72436,0.4921,0.94859,0.62005,1.04622,0.000113169,0.000113169,0.000113169
104,1793.76,0.57573,0.43744,0.90161,0.88553,0.65447,0.72575,0.49487,0.93883,0.61346,1.04594,0.000107279,0.000107279,0.000107279
105,1811.26,0.59164,0.44605,0.90805,0.87826,0.65812,0.7268,0.49152,0.94981,0.61627,1.05267,0.000101388,0.000101388,0.000101388
106,1829.02,0.59062,0.45255,0.90957,0.88617,0.65722,0.72855,0.49752,0.9349,0.61523,1.04988,9.54975e-05,9.54975e-05,9.54975e-05
107,1846.21,0.56566,0.42513,0.89651,0.87864,0.65623,0.72625,0.49655,0.93829,0.61272,1.04482,8.9607e-05,8.9607e-05,8.9607e-05
108,1862.46,0.58951,0.44122,0.90168,0.87512,0.65844,0.72769,0.49355,0.94941,0.61284,1.04902,8.37165e-05,8.37165e-05,8.37165e-05
109,1879.99,0.56242,0.42788,0.8958,0.87714,0.65948,0.72858,0.49438,0.93829,0.60579,1.04163,7.7826e-05,7.7826e-05,7.7826e-05
110,1897.34,0.56099,0.42331,0.89437,0.88772,0.65954,0.72926,0.49584,0.94038,0.60595,1.04422,7.19355e-05,7.19355e-05,7.19355e-05
111,1917.04,0.56478,0.43895,0.86983,0.87715,0.65798,0.72346,0.49135,0.94601,0.61498,1.05261,6.6045e-05,6.6045e-05,6.6045e-05
112,1934.83,0.53423,0.40783,0.85493,0.87715,0.65183,0.71851,0.48611,0.94977,0.62289,1.05745,6.01545e-05,6.01545e-05,6.01545e-05
113,1951.88,0.54182,0.41184,0.85249,0.88368,0.64993,0.71948,0.48388,0.95637,0.62554,1.0601,5.4264e-05,5.4264e-05,5.4264e-05
114,1968.54,0.53522,0.40337,0.85694,0.87994,0.64864,0.71821,0.48435,0.95495,0.62451,1.05975,4.83735e-05,4.83735e-05,4.83735e-05
115,1985.73,0.52963,0.39889,0.8558,0.87471,0.65269,0.72116,0.48597,0.95268,0.62061,1.0576,4.2483e-05,4.2483e-05,4.2483e-05
116,2003.11,0.51923,0.40077,0.85246,0.87998,0.65378,0.72199,0.48811,0.94793,0.61514,1.05452,3.65925e-05,3.65925e-05,3.65925e-05
117,2020.51,0.51874,0.39497,0.84455,0.87985,0.65394,0.72268,0.48775,0.95083,0.61666,1.05718,3.0702e-05,3.0702e-05,3.0702e-05
118,2037.02,0.52358,0.40005,0.85757,0.8745,0.65483,0.7213,0.48626,0.95396,0.6181,1.06067,2.48115e-05,2.48115e-05,2.48115e-05
119,2054.55,0.52059,0.39406,0.84755,0.87508,0.65524,0.72166,0.48879,0.94931,0.6148,1.05852,1.8921e-05,1.8921e-05,1.8921e-05
120,2071.96,0.52448,0.39365,0.85171,0.87665,0.65476,0.72239,0.48925,0.94873,0.61345,1.0593,1.30305e-05,1.30305e-05,1.30305e-05
