epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,12076.1,0.57981,0.31469,0.8994,0.94452,0.78084,0.85265,0.66392,0.60255,0.29856,0.89898,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12321.4,0.57412,0.31017,0.89597,0.93867,0.78342,0.85216,0.66181,0.60243,0.29728,0.89809,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12564.2,0.57388,0.30832,0.89328,0.94416,0.78665,0.85252,0.66508,0.59975,0.29521,0.8941,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12808.1,0.56787,0.30592,0.89125,0.9467,0.7807,0.85126,0.66267,0.60003,0.29471,0.89315,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13049.8,0.56745,0.30414,0.89047,0.94032,0.78503,0.85197,0.66412,0.60002,0.29337,0.892,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13291.7,0.5666,0.30509,0.88982,0.94542,0.78543,0.85437,0.66436,0.59866,0.29235,0.89186,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13534.1,0.55995,0.29942,0.88535,0.94358,0.78959,0.85582,0.66673,0.59764,0.28925,0.89254,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13783.8,0.55777,0.29771,0.88621,0.94432,0.78639,0.85538,0.66829,0.59551,0.28882,0.89203,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14027.8,0.55588,0.29536,0.88472,0.94878,0.78507,0.8558,0.6673,0.59894,0.28783,0.89269,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14273.3,0.55536,0.29492,0.8852,0.94639,0.78847,0.85619,0.66844,0.60139,0.2872,0.89241,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,14522.7,0.55132,0.29171,0.88365,0.94744,0.79002,0.85673,0.66826,0.60012,0.28543,0.89419,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14770.5,0.54775,0.29001,0.88381,0.94902,0.79143,0.85753,0.66987,0.59779,0.28312,0.89215,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15021.9,0.54394,0.28809,0.87793,0.95211,0.79113,0.8592,0.67147,0.59624,0.28187,0.8915,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15270.2,0.54078,0.28582,0.879,0.9528,0.79284,0.85983,0.67227,0.59448,0.28087,0.8909,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,15515.7,0.53796,0.28282,0.87733,0.95379,0.79641,0.86094,0.67342,0.59322,0.27865,0.89031,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15760.9,0.53444,0.28085,0.87598,0.95078,0.79619,0.86079,0.67469,0.5899,0.27704,0.89077,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16007.7,0.53233,0.28032,0.87301,0.95573,0.7938,0.86063,0.67525,0.58897,0.27721,0.88999,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16252.9,0.5301,0.27665,0.86974,0.95281,0.79626,0.86061,0.67607,0.5886,0.27532,0.88886,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,16499.1,0.52686,0.27487,0.87046,0.95034,0.80262,0.86234,0.67842,0.58527,0.27306,0.88822,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16744.8,0.52082,0.27077,0.86542,0.94941,0.80123,0.86276,0.67931,0.58396,0.27179,0.88679,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,16988.3,0.51904,0.26895,0.8642,0.95258,0.80098,0.86247,0.67941,0.58427,0.27149,0.88637,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17235,0.5163,0.26705,0.86352,0.95347,0.80124,0.86416,0.67986,0.58322,0.27031,0.88673,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,17480.6,0.51313,0.26359,0.86237,0.9552,0.80166,0.86522,0.68002,0.58388,0.2692,0.88671,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17727.4,0.50891,0.26216,0.86073,0.95339,0.80247,0.86488,0.68092,0.58317,0.26816,0.88682,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,17974.9,0.50516,0.26057,0.8595,0.9512,0.80394,0.86449,0.68242,0.58077,0.26674,0.8872,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18222.7,0.50022,0.25745,0.85891,0.9546,0.80261,0.86418,0.68307,0.58058,0.2658,0.88715,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,18481.4,0.49908,0.25661,0.85762,0.9546,0.80405,0.86555,0.68348,0.58001,0.26513,0.88678,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,18736.6,0.49665,0.25525,0.85789,0.95096,0.80702,0.86547,0.68418,0.57877,0.26377,0.88696,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,18992.7,0.49443,0.2542,0.85717,0.95324,0.8051,0.86572,0.68441,0.57894,0.26381,0.88725,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19245.9,0.49036,0.25147,0.85337,0.95426,0.80536,0.86572,0.68455,0.57862,0.26295,0.88685,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19519,0.48574,0.24774,0.85143,0.9543,0.80495,0.86569,0.68499,0.57855,0.26254,0.88711,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,19770.3,0.48253,0.24606,0.85221,0.95093,0.80714,0.86556,0.68544,0.57825,0.26173,0.88742,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,20025.9,0.48226,0.24584,0.85135,0.95374,0.80639,0.86565,0.68571,0.57803,0.26134,0.88741,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,20276.9,0.47579,0.24273,0.84964,0.95494,0.80637,0.86577,0.68599,0.57766,0.26154,0.88782,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,20595.8,0.4738,0.24094,0.84767,0.95563,0.80747,0.86627,0.68607,0.57757,0.2611,0.88825,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,20852.8,0.46928,0.23871,0.84521,0.95463,0.80847,0.86665,0.68639,0.57759,0.26092,0.88834,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,21107.3,0.46767,0.23677,0.84422,0.95437,0.80939,0.86695,0.68656,0.5777,0.26112,0.88857,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,21358.7,0.46444,0.23525,0.84471,0.95344,0.80958,0.86709,0.68676,0.57724,0.26053,0.88863,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21607.7,0.46035,0.23489,0.8417,0.95349,0.80971,0.86675,0.68722,0.57671,0.26044,0.88886,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,21864,0.4586,0.23233,0.8401,0.9547,0.80953,0.86689,0.68767,0.57638,0.26008,0.88904,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,22114.6,0.45415,0.22991,0.83954,0.95356,0.81006,0.86659,0.68776,0.57643,0.26004,0.88933,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,22365.4,0.45217,0.22853,0.8374,0.95339,0.80995,0.86716,0.68779,0.57636,0.2597,0.88955,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,22616.9,0.4493,0.22722,0.83769,0.95379,0.80954,0.86687,0.68805,0.5761,0.25942,0.88956,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,22871.7,0.44483,0.22437,0.83733,0.95431,0.80936,0.86692,0.68797,0.57619,0.25917,0.88977,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,23117,0.44088,0.22221,0.83509,0.95369,0.81018,0.86737,0.68814,0.57637,0.25914,0.88991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,23392.3,0.43877,0.22024,0.83387,0.95418,0.80978,0.86736,0.68825,0.57609,0.25885,0.88997,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,23645,0.43579,0.21878,0.83282,0.95458,0.80942,0.86801,0.68823,0.57579,0.2585,0.89004,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,23895.3,0.43384,0.21778,0.83289,0.95412,0.81005,0.86789,0.68835,0.57555,0.25812,0.88994,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,24142.4,0.43002,0.21518,0.83049,0.95331,0.81065,0.8678,0.68834,0.57522,0.25781,0.88986,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,24393.2,0.42797,0.21469,0.83037,0.95262,0.81072,0.8678,0.68836,0.57533,0.25763,0.89005,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,24642.2,0.42587,0.21286,0.82905,0.95221,0.81049,0.86757,0.68826,0.57528,0.25735,0.89024,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,24892,0.42297,0.21212,0.82897,0.9517,0.81071,0.86766,0.68825,0.57521,0.25721,0.89039,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,25158.6,0.42161,0.21033,0.82827,0.95114,0.81159,0.86804,0.68843,0.5754,0.25717,0.89056,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
