epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,9223.31,0.73259,0.44771,0.95575,0.9411,0.74365,0.81714,0.61655,0.67882,0.37296,0.87625,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,9413.42,0.73272,0.44764,0.95482,0.93848,0.74564,0.81747,0.61271,0.6832,0.37309,0.87599,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,9602.82,0.7352,0.44989,0.95644,0.93823,0.74502,0.8185,0.61899,0.67419,0.36995,0.8737,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,9792.8,0.72857,0.44473,0.9527,0.93628,0.74689,0.81794,0.61603,0.67559,0.3678,0.87224,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,9984.95,0.72658,0.44453,0.95382,0.93994,0.74694,0.81963,0.6188,0.67329,0.36688,0.87423,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,10174.4,0.72891,0.44455,0.95505,0.93952,0.74681,0.82,0.61865,0.6712,0.36545,0.87168,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,10364,0.72443,0.44105,0.95099,0.93915,0.74994,0.82083,0.61934,0.67113,0.36537,0.87047,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,10554.4,0.72573,0.44004,0.94995,0.93561,0.74976,0.82019,0.61952,0.67066,0.36406,0.87125,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,10744.2,0.72001,0.43697,0.95042,0.93671,0.74976,0.81985,0.61654,0.67508,0.36397,0.87173,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,10934.2,0.71916,0.43654,0.94906,0.93743,0.74631,0.81874,0.61744,0.67348,0.36439,0.87086,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,11124.5,0.71733,0.43616,0.94718,0.93469,0.74942,0.81989,0.61966,0.67138,0.36222,0.86958,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,11317.5,0.71506,0.43191,0.94642,0.93999,0.74962,0.82131,0.62258,0.6663,0.35949,0.86871,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,11507.5,0.71755,0.43358,0.94519,0.9367,0.75202,0.82221,0.62314,0.66458,0.3581,0.868,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,11697.3,0.71529,0.43207,0.94512,0.93934,0.7513,0.8232,0.6252,0.66441,0.3564,0.86724,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,11896.3,0.71218,0.43196,0.94633,0.93984,0.74951,0.82297,0.62452,0.66407,0.35811,0.86741,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,12100.7,0.71448,0.42898,0.94498,0.93973,0.74972,0.82286,0.62363,0.66563,0.35676,0.86694,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,12293,0.70645,0.42671,0.94125,0.94218,0.7492,0.82363,0.62302,0.66749,0.35672,0.86751,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,12483.9,0.70839,0.42633,0.9403,0.94131,0.75238,0.82352,0.62264,0.66522,0.355,0.86593,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,12683,0.70608,0.42349,0.94071,0.94281,0.75255,0.82399,0.62286,0.66451,0.35443,0.8649,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,12891.7,0.70454,0.42263,0.94233,0.93891,0.75391,0.82414,0.62357,0.66376,0.35331,0.86505,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,13082.5,0.70419,0.42325,0.9417,0.94287,0.75288,0.8254,0.62446,0.66304,0.35234,0.86471,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,13272.2,0.70214,0.42123,0.93887,0.94028,0.75449,0.82489,0.62505,0.6622,0.35213,0.86377,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,13462.9,0.70091,0.421,0.94105,0.93639,0.7554,0.82486,0.62558,0.66066,0.35075,0.86381,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,13653.4,0.69766,0.41809,0.93829,0.93952,0.7548,0.8258,0.62621,0.65831,0.35017,0.86265,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,13843.5,0.69925,0.41858,0.93589,0.9386,0.75399,0.82562,0.62634,0.65828,0.34995,0.86123,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,14034.2,0.69718,0.41584,0.93605,0.94002,0.7537,0.82583,0.62629,0.65734,0.34937,0.86122,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,14230.2,0.69631,0.41555,0.93448,0.93717,0.75483,0.82509,0.62696,0.65646,0.34884,0.86021,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,14423.5,0.69031,0.41195,0.93365,0.93565,0.75559,0.82543,0.62723,0.65524,0.34772,0.85957,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,14616.1,0.69431,0.41494,0.93574,0.93653,0.75445,0.82518,0.62729,0.65375,0.34682,0.85955,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,14807.8,0.68882,0.41075,0.93302,0.93721,0.75302,0.825,0.6272,0.65432,0.34694,0.85941,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,15001.8,0.68828,0.40942,0.93221,0.93622,0.75298,0.82538,0.62794,0.65377,0.34627,0.85932,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,15195.1,0.68681,0.40806,0.93111,0.93876,0.75175,0.82542,0.62757,0.65379,0.34553,0.85918,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,15387.3,0.68591,0.40798,0.93147,0.94091,0.7523,0.82607,0.62795,0.6528,0.34439,0.8593,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,15579,0.68371,0.40637,0.93278,0.93939,0.75381,0.82627,0.6285,0.65235,0.34439,0.8596,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,15770.3,0.68327,0.40523,0.93006,0.93874,0.75445,0.8266,0.62867,0.6518,0.34429,0.85909,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,15962.2,0.68037,0.40411,0.93071,0.93781,0.75536,0.82665,0.62906,0.65123,0.34411,0.85874,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,16152.7,0.68118,0.40346,0.92992,0.93655,0.75558,0.82619,0.62855,0.6515,0.34387,0.85884,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,16343.5,0.67645,0.40169,0.92921,0.93828,0.75486,0.82615,0.62868,0.65127,0.34313,0.85845,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,16536.8,0.67914,0.40087,0.92866,0.93724,0.75568,0.82624,0.62835,0.65121,0.34279,0.85827,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,16729.1,0.67367,0.397,0.92689,0.93641,0.75614,0.82631,0.62866,0.65143,0.34236,0.85836,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,16920.9,0.6752,0.40034,0.93014,0.93647,0.75676,0.82647,0.62875,0.65097,0.34261,0.85819,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,17112.2,0.6703,0.39602,0.92542,0.93711,0.75659,0.82655,0.62915,0.65037,0.34221,0.85813,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,17303.5,0.67127,0.397,0.92742,0.93762,0.75736,0.82678,0.62934,0.64974,0.34189,0.85781,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,17494,0.66938,0.39486,0.92588,0.93719,0.75883,0.82737,0.62973,0.64938,0.34158,0.85767,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,17684.1,0.66749,0.39319,0.92484,0.93808,0.75844,0.82742,0.62963,0.64931,0.34112,0.85772,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,17873,0.66594,0.39204,0.92208,0.93931,0.75842,0.82818,0.6301,0.64895,0.34106,0.85743,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,18062.3,0.66419,0.39052,0.92373,0.93845,0.75897,0.82847,0.63039,0.64845,0.34056,0.85731,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,18251.1,0.66579,0.39274,0.92374,0.93762,0.75983,0.82873,0.63041,0.64819,0.34019,0.8575,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,18440.7,0.6637,0.39186,0.92373,0.93789,0.76018,0.82854,0.63028,0.64824,0.34009,0.85762,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,18629.6,0.65949,0.38798,0.92219,0.93833,0.76041,0.82844,0.63019,0.64799,0.33979,0.85745,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,18818.8,0.65488,0.38379,0.92005,0.93836,0.76064,0.82865,0.63032,0.64766,0.33955,0.85737,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,19008.6,0.65859,0.38668,0.91985,0.9378,0.7613,0.82893,0.63043,0.64741,0.33941,0.85722,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,19198.1,0.65774,0.3868,0.91945,0.93777,0.76009,0.82874,0.63058,0.6471,0.33924,0.85696,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,19387.9,0.65811,0.38592,0.92098,0.93839,0.75903,0.82805,0.63029,0.64684,0.33909,0.85684,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,19578.1,0.65195,0.38213,0.9184,0.93904,0.75885,0.82826,0.6302,0.6471,0.33892,0.85686,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,19768.5,0.65383,0.38259,0.91738,0.93995,0.75861,0.82816,0.63048,0.64688,0.33864,0.85674,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,19957.4,0.65168,0.38162,0.91855,0.94056,0.75831,0.82841,0.63051,0.64686,0.33851,0.8566,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,20146.5,0.64653,0.37798,0.91592,0.93976,0.75913,0.82869,0.63043,0.64672,0.33843,0.85645,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,20335.8,0.64857,0.37821,0.91684,0.94053,0.7588,0.82851,0.63094,0.64624,0.3381,0.85625,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,20525,0.64699,0.37833,0.91658,0.94051,0.75904,0.82851,0.63108,0.64596,0.33782,0.85613,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,20714.7,0.64393,0.37553,0.91447,0.93993,0.75959,0.8287,0.63131,0.64575,0.33769,0.85609,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,20903.6,0.6441,0.37619,0.91584,0.94027,0.75886,0.82845,0.63147,0.64567,0.33742,0.85596,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,21092.5,0.64264,0.3752,0.91379,0.9405,0.75944,0.82854,0.63144,0.6455,0.33734,0.85578,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,21281.9,0.63876,0.37236,0.91377,0.93944,0.75949,0.82877,0.63156,0.64533,0.33702,0.85558,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,21472.2,0.64018,0.37245,0.91276,0.94038,0.75913,0.82858,0.63169,0.64534,0.33683,0.85542,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,21666.1,0.62024,0.34673,0.88001,0.94013,0.75939,0.82899,0.63177,0.6453,0.33659,0.85531,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,21854.7,0.60963,0.33963,0.87708,0.94001,0.75894,0.82875,0.63188,0.64522,0.33641,0.85521,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,22043.2,0.60585,0.33696,0.87547,0.94046,0.75819,0.82861,0.63188,0.64522,0.33625,0.85514,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,22232.4,0.60522,0.33537,0.87356,0.93837,0.75898,0.82913,0.63213,0.64513,0.33616,0.85506,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,22420.8,0.60297,0.33303,0.87385,0.9383,0.75881,0.8291,0.63231,0.64507,0.33597,0.85505,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,22609.8,0.60253,0.33328,0.87319,0.9384,0.75878,0.82953,0.63245,0.6449,0.33594,0.85497,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,22798,0.59679,0.33046,0.86961,0.93792,0.75975,0.83018,0.63253,0.64481,0.33599,0.85481,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,22986.9,0.59915,0.32986,0.87166,0.93767,0.75957,0.82987,0.63284,0.64473,0.33577,0.85476,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,23175,0.59398,0.3282,0.87044,0.93782,0.75967,0.83022,0.63301,0.64451,0.33567,0.85474,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,23363.2,0.59205,0.32652,0.87018,0.9383,0.75988,0.83012,0.63294,0.64445,0.33536,0.85469,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
