epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2155.32,0.71303,0.47511,0.95135,0.90453,0.69679,0.7697,0.55335,0.81498,0.49545,0.94647,0.000390023,0.000390023,0.000390023
57,2193.71,0.71929,0.48349,0.95769,0.91427,0.70474,0.78198,0.57326,0.78608,0.4819,0.94351,0.000384132,0.000384132,0.000384132
58,2231.6,0.70815,0.47618,0.94965,0.91075,0.69768,0.77087,0.55723,0.80597,0.4924,0.94813,0.000378242,0.000378242,0.000378242
59,2268.54,0.70941,0.4729,0.95248,0.92174,0.70432,0.77892,0.566,0.7921,0.47876,0.94447,0.000372351,0.000372351,0.000372351
60,2305.64,0.70391,0.46855,0.95157,0.90732,0.70951,0.77714,0.5563,0.79964,0.4871,0.94046,0.00036646,0.00036646,0.00036646
61,2343.32,0.70976,0.47289,0.94838,0.91187,0.7047,0.77811,0.57279,0.77621,0.48294,0.94525,0.00036057,0.00036057,0.00036057
62,2380.38,0.70703,0.46997,0.94491,0.91129,0.71491,0.78355,0.56671,0.78953,0.4784,0.94103,0.00035468,0.00035468,0.00035468
63,2417.78,0.70491,0.46355,0.94909,0.9191,0.7013,0.78074,0.56281,0.81011,0.48416,0.9449,0.000348789,0.000348789,0.000348789
64,2454.85,0.70126,0.46658,0.94342,0.91874,0.70189,0.77982,0.5649,0.79326,0.47557,0.939,0.000342899,0.000342899,0.000342899
65,2491.92,0.70561,0.46136,0.94549,0.90957,0.7064,0.78061,0.56571,0.79119,0.4754,0.939,0.000337008,0.000337008,0.000337008
66,2529.31,0.69766,0.46305,0.94262,0.91469,0.70649,0.77866,0.5671,0.79782,0.47345,0.94577,0.000331118,0.000331118,0.000331118
67,2566.14,0.6939,0.45774,0.94487,0.90916,0.71218,0.78099,0.57129,0.78325,0.46955,0.93893,0.000325227,0.000325227,0.000325227
68,2602.91,0.69978,0.4601,0.94321,0.90587,0.70752,0.77721,0.55802,0.80727,0.47583,0.94759,0.000319336,0.000319336,0.000319336
69,2639.84,0.68652,0.45255,0.93847,0.9148,0.70672,0.78122,0.56545,0.78607,0.46927,0.94013,0.000313446,0.000313446,0.000313446
70,2677.21,0.68954,0.45055,0.93713,0.92247,0.70626,0.78283,0.56827,0.7957,0.46852,0.94444,0.000307555,0.000307555,0.000307555
71,2714.05,0.69151,0.454,0.94219,0.90869,0.70727,0.77966,0.56747,0.80551,0.47381,0.94536,0.000301665,0.000301665,0.000301665
72,2751.43,0.68621,0.45071,0.94354,0.9104,0.71288,0.78283,0.56893,0.79285,0.47004,0.93853,0.000295775,0.000295775,0.000295775
